0. Tech;;VAR;LABEL;TYPE;INPUT;QUESTION
;;CASE;Interview-Nummer (fortlaufend);METRIC;SYSTEM;
;;SERIAL;Personenkennung oder Teilnahmecode (sofern verwendet);TEXT;SYSTEM;
;;REF;Referenz (sofern im Link angegeben);TEXT;SYSTEM;
;;QUESTNNR;Fragebogen, der im Interview verwendet wurde;TEXT;SYSTEM;
;;MODE;Interview-Modus;TEXT;SYSTEM;
;;STARTED;Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin);TIME;SYSTEM;
;;IE02;Zustimmung Studieninformation;NOMINAL;SELECTION; Bestätigung Studieninformation
;;IE03;Einverständnis zum Datenschutz und Widerruf (Vertraulichkeit von Probandinnen-/Probandendaten);NOMINAL;SELECTION;Einverständnis zum Datenschutz und Widerruf
2. Naturbezug;"|1| ""wenig""; |7| viel";NB01;Naturverbundenheitsindex;NOMINAL;SELECTION;Welche Abbildung beschreibt Ihre Beziehung und Verbundenheit zur Natur am besten?
;Stunden;NB02_01;Freizeit Natur :  ... Stunden pro Woche (gerundet auf volle Stunden);METRIC;OPEN;Wie viele Stunden verbringen Sie wöchentlich in der Natur?
"5. Pilze Artenkenntnis
";benennen (Freitext);PA02_01;Fliegenpilz Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich. 
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA03;Fliegenpilz Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA04_01;Frühjahrs-Giftlorchel Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA05;Frühjahrs-Giftlorchel Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA06_01;Gallenröhrling Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA07;Gallenröhrling Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA08_01;Satansröhrling Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA09;Satansröhrling Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA10_01;Rotfußröhrling Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA11;Rotfußröhrling Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA12_01;Birken-Rotkappe Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA13;Birken-Rotkappe Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA14_01;Maronenröhrling Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA15;Maronenröhrling Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA16_01;Bauchweh-Koralle Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA17;Bauchweh-Koralle Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA18_01;Grüner Knollenblätterpilz Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA19;Grüner Knollenblätterpilz Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA20_01;Speisemorchel Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA21;Speisemorchel Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA22_01;Fichten-Steinpilz Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA23;Fichten-Steinpilz Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
;benennen (Freitext);PA24_01;Wiesen-Champignon Bestimmung: Name des Pilzes;TEXT;OPEN;Bitte benennen Sie diesen Pilz so genau wie möglich.
;"|1|""essbar"";|2|""giftig/ungenießbar"";|3|""weiß ich nicht""";PA25;Wiesen-Champignon Speisewert;NOMINAL;SELECTION;Bitte beurteilen Sie diesen Pilz hinsichtlich seines Speisewerts.
4. Pilze Gewohnheiten;"|1|""ja"";|2|""nein"";|-9|""nicht beantwortet""";PG01;Essverhalten Pilze;NOMINAL;SELECTION;Essen Sie Pilze?
;"|1|""ja"";|2|""nein (kein Interesse)"";|3|""nein (Bedenken aufgrund fehlenden Wissens)"";|4|""nein (keine Möglichkeit aufgrund von lokalen Gegebenheiten)"";|5|""nein (sonstige Gründe)""";PG02;Sammelverhalten Pilze;NOMINAL;SELECTION;Haben Sie schon eimnal Pilze gesammelt?
